epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.78654,0.79446,0.25,1,0.84972,1.667e-05,1.667e-05,1.667e-05
2,17.9358,0.80666,0.25,1,0.84758,4.0108e-05,4.0108e-05,4.0108e-05
3,26.3612,0.77038,0.25,1,0.82043,5.03434e-05,5.03434e-05,5.03434e-05
4,34.7913,0.72339,0.25,1,0.78478,4.73761e-05,4.73761e-05,4.73761e-05
5,43.5551,0.68603,0.25,1,0.76924,3.12062e-05,3.12062e-05,3.12062e-05
