epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.21652,0.85823,0.125,1,0.9167,1.667e-05,1.667e-05,1.667e-05
2,15.1079,0.83707,0.125,1,0.9258,4.0108e-05,4.0108e-05,4.0108e-05
3,20.5365,0.80787,0.125,1,0.88868,5.03434e-05,5.03434e-05,5.03434e-05
4,26.144,0.74072,0.125,1,0.84601,4.73761e-05,4.73761e-05,4.73761e-05
5,31.6425,0.69288,0.125,1,0.81234,3.12062e-05,3.12062e-05,3.12062e-05
